,qual,qualNum,avgInc,percent
,Masters/PhD,85,40508.35,6.70
,Bachelor degree (nvq4),275,38507.71,21.67
,A-level (nvq3),169,31711.07,13.32
,Vocational (nvq1+2),137,24101.71,10.80
,GCSE/O-level,224,25337.70,17.65
,Other,116,22178.39,9.14
,Still in study,11,9658.81,0.87
,No formal qualifications,252,16180.09,19.86
,,,,
