qual,qualNum,percent,avgInc,
No formal qualifications,252,19.86,16180.09,
Still in study,11,0.87,9658.81,
Other,116,9.14,22178.39,
GCSE/O-level,224,17.65,25337.70,
Vocational (nvq1+2),137,10.80,24101.71,
A-level (nvq3),169,13.32,31711.07,
Bachelor degree (nvq4),275,21.67,38507.71,
Masters/PhD,85,6.70,40508.35,
